"Consumer.Discretionary" "Consumer.Staples" "Energy" "Financials" "Health.Care" "Industrials" "Information.Technology" "Materials" "Telecommunication.Services" "Undefined" "Utilities"
"1999-01-01" 0 0 0.000838300147103569 -0.000382632167869206 0 0 0 -0.00389980025169813 0.00090591287091256 0 -0.000261019888108302
"1999-01-08" 0 0 0.00112063293015552 0.00110208422623176 0 0 0 -8.15763148133743e-05 0 0 0.00524516546211617
"1999-01-15" 0 0 0.000279050807983971 -0.000842137967706496 0 0 0 0.00149317723469866 0.00183433303080694 0 -0.00153443298590127
"1999-01-22" 0 0 -0.000344127014961266 0.00143275663384488 0 0 0 9.41299119975783e-05 0.000306183626003005 0 1.82948314500225e-05
"1999-01-29" 0 0 0 -0.000447230839700913 0 0 0 0.000490855291113659 0.000235286353663796 0 -0.00135123976370209
"1999-02-05" 0 0 0 -8.79858365980681e-05 0 0 0 -8.52769960542716e-05 -0.000143115425880017 0 8.24669336070048e-05
"1999-02-12" 0 0 0 -9.16949344144435e-06 0 0 0 -2.79828294873415e-05 0 0 0.000158686317650565
"1999-02-19" 0 0 0 -0.000249591630456609 0 0 0 2.43874734027024e-05 -0.000140520173589507 0 0.0008270438875157
"1999-02-26" 0 0 0 0.00018790122499598 0 0 0 -0.000479862803624399 -0.000473143488826737 0 0.000118901266198229
"1999-03-05" 0 0 0 -0.000294763469774013 0 0 0 0.000531163635090892 0.00181781047404824 0 -0.000868389691931476
"1999-03-12" 0 0 0 -0.000884490620493316 0 0 0 -0.000719467302532331 0.000476516974915135 0 -8.70191449908689e-05
"1999-03-19" 0 0 0 0.000554483242059508 0 0 0 0.000533002544444979 -4.53402259463e-05 0 -0.00169017151100261
"1999-03-26" 0 0 0 4.74913580245365e-05 0 0 0 0.000211263775532339 0.00116674732735206 0 -0.000713657694647897
"1999-04-02" 0 0 -4.5336654568654e-07 -0.000129164561952032 0 0 0 0.000971981006804723 0.000170935338116149 0 0.000280518899995741
"1999-04-09" 0 0 -0.000393195781792756 0 0 0 0 -0.000912643387483383 -0.000374462546368033 0 -0.0022135040237095
"1999-04-16" 0 0 0.00068048501527169 -0.000185614461491488 0 0 0 -0.000382137809068357 0.000118760352017401 0 0.000798653399894531
"1999-04-23" 0 0 -0.000194117619514876 5.27147436917094e-05 0 0 0 0.000770072800682066 6.97913495995772e-05 0 -0.000565591993421418
"1999-04-30" 0 0 -0.000112082134955577 0.00019368227081053 0 0 0 1.02884509804533e-05 -1.90536335526626e-05 0 0.000344447065688037
"1999-05-07" 0 0 -0.000200794138387998 0.00122611952126747 0 0 0 0.000175931385050948 -4.15402301092666e-05 0 -0.000171281375713729
"1999-05-14" 0 0 0.000525749091886376 -0.000310039596993443 0 0 0 -0.000108844435907673 0.000137480275843009 0 0.00110506930289502
"1999-05-21" 0 0 -0.0011043661996273 -2.51542682124367e-05 0 0 0 0.000121074328471535 0.000260225641414292 0 0.00031537457602657
