"Consumer.Discretionary" "Consumer.Staples" "Energy" "Financials" "Health.Care" "Industrials" "Information.Technology" "Materials" "Telecommunication.Services" "Undefined" "Utilities"
"1999-01-01" 0 0 0 0 0 0 0 0 0 0 -0.000795886884202999
"1999-01-08" 0 0 0 0 0 0 0 0 0 0 -0.00154707555693527
"1999-01-15" 0 0 0 0 0 0 0 0 0 0 0.00133842745766443
"1999-01-22" 0 0 0 0 0 0 0 0 0 0 8.38786902390019e-05
"1999-01-29" 0 0 0 0 0 0 0 0 0 0 0.00167632214696252
"1999-02-05" 0 0 0 0 0 0 0 0 0 0 0.00048952964849886
"1999-02-12" 0 0 0 0 0 0 0 0 0 0 -0.000216597793711416
"1999-02-19" 0 0 0 0 0 0 0 0 0 0 -0.000103414572038815
"1999-02-26" 0 0 0 0 0 0 0 0 0 0 0.000135842771491969
"1999-03-05" 0 0 0 0 0 0 0 0 0 0 0.00160828806733886
"1999-03-12" 0 0 0 0 0 0 0 0 0 0 0.000752593545942424
"1999-03-19" 0 0 0 0 0 0 0 0 0 0 0.000653132368073929
"1999-03-26" 0 0 0 0 0 0 0 -3.85629222576558e-05 0 0 0.00066791679887774
"1999-04-02" 0 0 0 0 0 0 0 0.000282626967901889 0 0 0.000360445753531786
"1999-04-09" 0 0 0 0 0 0 0 -0.000271976257295925 0 0 8.40965417698401e-05
"1999-04-16" 0 0 0 0 0 0 0 -0.000225160875951312 0 0 -0.000230497742881849
"1999-04-23" 0 0 0 0 0 0 0 0.000208433646283712 0 0 3.64572355589512e-05
"1999-04-30" 0 0 0 0 0 0 0 0.000470777624426959 0 0 -3.57483903701074e-05
"1999-05-07" 0 0 0 0 0 0 0 -0.000119672705576596 0 0 -1.15110026713841e-05
"1999-05-14" 0 0 0 0 0 0 0 1.80464361952946e-07 0 0 0.000107926652980466
"1999-05-21" 0 0 0 0 0 0 0 1.62146932671098e-06 0 0 6.75578661600143e-05
"1999-05-28" 0 0 0 0 0 0 0 -0.000347673761855199 0 0 4.69670727248246e-05
"1999-06-04" 0 0 0 0 0 0 0 -0.000103252665952489 0 0 3.55458800192143e-06
"1999-06-11" 0 0 0 0 0 0 0 0.000286728438780724 0 0 1.36596584488477e-06
"1999-06-18" 0 0 0 0 0 0 0 1.78569222219769e-05 0 0 -5.9082572644326e-05
"1999-06-25" 0 0 0 0 0 0 0 0 0 0 0
"1999-07-02" 0 0 0 0 0 0 0 0 0 0 0
"1999-07-09" 0 0 0 0 0 0 0 0 0 0 0
"1999-07-16" 0 0 0 0 0 0 0 7.97622154209525e-07 -9.86072131209959e-06 0 4.82186147993413e-05
"1999-07-23" 0 0 0 0 0 0 0 -6.61558760297875e-07 2.99390225929988e-06 0 4.53840755469068e-06
"1999-07-30" 0 0 0 0 0 0 0 -5.57875652881608e-07 4.19921054841691e-07 0 3.63617625747184e-06
"1999-08-06" 0 0 0 0 0 0 0 -8.04779027385906e-05 0 0 1.85468345307868e-06
"1999-08-13" 0 0 0 0 0 0 0 0.000208081706788678 0 0 -3.68244148788856e-05
